word_weight,condition,rt
1.0,congruent,0.4220000000000003
1.0,congruent,0.2780000000000002
1.0,congruent,0.9570000000000007
1.0,congruent,0.21900000000000017
1.0,congruent,0.35800000000000026
1.0,congruent,0.32900000000000024
1.0,congruent,0.43400000000000033
1.0,congruent,0.2730000000000002
1.0,congruent,0.20700000000000016
1.0,congruent,0.2900000000000002
1.0,congruent,0.22500000000000017
1.0,congruent,0.44200000000000034
1.0,congruent,0.4090000000000003
1.0,congruent,0.2940000000000002
1.0,congruent,0.5330000000000004
1.0,congruent,0.6940000000000005
1.0,congruent,0.45500000000000035
1.0,congruent,0.5300000000000004
1.0,congruent,0.6180000000000004
1.0,congruent,0.3950000000000003
1.0,congruent,0.2700000000000002
1.0,congruent,0.33300000000000024
1.0,congruent,0.2950000000000002
1.0,congruent,0.5900000000000004
1.0,congruent,0.2990000000000002
1.0,congruent,0.19800000000000015
1.0,congruent,0.4190000000000003
1.0,congruent,0.3880000000000003
1.0,congruent,0.35900000000000026
1.0,congruent,0.35400000000000026
1.0,congruent,0.5470000000000004
1.0,congruent,0.5420000000000004
1.0,congruent,0.35300000000000026
1.0,congruent,0.2480000000000002
1.0,congruent,0.35200000000000026
1.0,congruent,0.3060000000000002
1.0,congruent,0.46300000000000036
1.0,congruent,0.44100000000000034
1.0,congruent,0.35200000000000026
1.0,congruent,0.4990000000000004
1.0,congruent,0.4850000000000004
1.0,congruent,0.7730000000000006
1.0,congruent,0.3950000000000003
1.0,congruent,0.18900000000000014
1.0,congruent,0.21800000000000017
1.0,congruent,0.4890000000000004
1.0,congruent,0.4900000000000004
1.0,congruent,0.34600000000000025
1.0,congruent,0.6310000000000004
1.0,congruent,0.5740000000000004
1.0,congruent,0.47400000000000037
1.0,congruent,0.43700000000000033
1.0,congruent,0.47000000000000036
1.0,congruent,0.4980000000000004
1.0,congruent,0.2960000000000002
1.0,congruent,0.3110000000000002
1.0,congruent,0.3800000000000003
1.0,congruent,0.23400000000000018
1.0,congruent,0.43800000000000033
1.0,congruent,0.35000000000000026
1.0,congruent,0.2890000000000002
1.0,congruent,0.5310000000000004
1.0,congruent,0.6150000000000004
1.0,congruent,0.2660000000000002
1.0,congruent,0.4920000000000004
1.0,congruent,0.4970000000000004
1.0,congruent,1.0379999999999965
1.0,congruent,0.33900000000000025
1.0,congruent,0.2450000000000002
1.0,congruent,0.32600000000000023
1.0,congruent,0.35100000000000026
1.0,congruent,0.46400000000000036
1.0,congruent,0.46700000000000036
1.0,congruent,0.3150000000000002
1.0,congruent,0.25500000000000017
1.0,congruent,0.36100000000000027
1.0,congruent,0.3900000000000003
1.0,congruent,0.43600000000000033
1.0,congruent,0.23800000000000018
1.0,congruent,0.33100000000000024
1.0,congruent,0.3970000000000003
1.0,congruent,0.5790000000000004
1.0,congruent,0.4290000000000003
1.0,congruent,0.23100000000000018
1.0,congruent,0.4300000000000003
1.0,congruent,0.5550000000000004
1.0,congruent,0.4220000000000003
1.0,congruent,0.3110000000000002
1.0,congruent,0.5090000000000003
1.0,congruent,0.45900000000000035
1.0,congruent,0.20400000000000015
1.0,congruent,0.36700000000000027
1.0,congruent,0.5940000000000004
1.0,congruent,0.4030000000000003
1.0,congruent,0.4100000000000003
1.0,congruent,0.5580000000000004
1.0,congruent,0.23800000000000018
1.0,congruent,0.22600000000000017
1.0,congruent,0.6670000000000005
1.0,congruent,0.31900000000000023
1.0,congruent,0.23300000000000018
1.0,congruent,0.4920000000000004
1.0,congruent,0.22600000000000017
1.0,congruent,0.44000000000000034
1.0,congruent,0.33000000000000024
1.0,congruent,0.7750000000000006
1.0,congruent,0.3090000000000002
1.0,congruent,0.3010000000000002
1.0,congruent,0.5070000000000003
1.0,congruent,0.4020000000000003
1.0,congruent,0.4040000000000003
1.0,congruent,0.3180000000000002
1.0,congruent,0.16900000000000012
1.0,congruent,0.35900000000000026
1.0,congruent,0.6680000000000005
1.0,congruent,0.2570000000000002
1.0,congruent,0.32500000000000023
1.0,congruent,0.2730000000000002
1.0,congruent,0.4290000000000003
1.0,congruent,0.23600000000000018
1.0,congruent,0.7740000000000006
1.0,congruent,1.2079999999999778
1.0,congruent,0.45200000000000035
1.0,congruent,0.43400000000000033
1.0,congruent,0.18600000000000014
1.0,congruent,0.2700000000000002
1.0,congruent,0.4970000000000004
1.0,congruent,0.4010000000000003
1.0,congruent,0.4270000000000003
1.0,congruent,0.16000000000000011
1.0,congruent,0.45400000000000035
1.0,congruent,0.4010000000000003
